Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	comp-bc-0245	1583417966.466	    60.958	0	72	0	0	Rscript my_R_script 3
2	comp-bc-0245	1583417964.457	    63.573	0	72	0	0	Rscript my_R_script 2
4	comp-bc-0245	1583417968.477	    61.309	0	72	0	0	Rscript my_R_script 4
1	comp-bc-0245	1583417962.447	    68.766	0	72	0	0	Rscript my_R_script 1
7	comp-bc-0245	1583417974.507	    60.420	0	72	0	0	Rscript my_R_script 7
5	comp-bc-0245	1583417970.487	    64.740	0	72	0	0	Rscript my_R_script 5
6	comp-bc-0245	1583417972.497	    64.401	0	72	0	0	Rscript my_R_script 6
8	comp-bc-0245	1583417976.517	    61.249	0	72	0	0	Rscript my_R_script 8
9	comp-bc-0245	1583417978.527	    59.624	0	72	0	0	Rscript my_R_script 9
10	comp-bc-0245	1583417980.537	    60.003	0	73	0	0	Rscript my_R_script 10
13	comp-bc-0293	1583417986.567	    62.278	0	73	0	0	Rscript my_R_script 13
14	comp-bc-0293	1583417988.578	    60.895	0	73	0	0	Rscript my_R_script 14
11	comp-bc-0293	1583417982.548	    67.267	0	73	0	0	Rscript my_R_script 11
12	comp-bc-0293	1583417984.558	    66.878	0	73	0	0	Rscript my_R_script 12
16	comp-bc-0293	1583417992.598	    61.039	0	73	0	0	Rscript my_R_script 16
15	comp-bc-0293	1583417990.588	    65.144	0	73	0	0	Rscript my_R_script 15
17	comp-bc-0293	1583417994.609	    62.671	0	73	0	0	Rscript my_R_script 17
19	comp-bc-0293	1583417998.629	    63.861	0	73	0	0	Rscript my_R_script 19
18	comp-bc-0293	1583417996.619	    66.844	0	73	0	0	Rscript my_R_script 18
20	comp-bc-0293	1583418000.641	    64.152	0	73	0	0	Rscript my_R_script 20
21	comp-bc-0245	1583418027.442	    60.831	0	73	0	0	Rscript my_R_script 21
23	comp-bc-0245	1583418031.482	    59.815	0	73	0	0	Rscript my_R_script 23
22	comp-bc-0245	1583418029.465	    65.271	0	73	0	0	Rscript my_R_script 22
24	comp-bc-0245	1583418033.500	    61.765	0	73	0	0	Rscript my_R_script 24
25	comp-bc-0245	1583418035.516	    64.082	0	73	0	0	Rscript my_R_script 25
27	comp-bc-0245	1583418039.551	    61.615	0	73	0	0	Rscript my_R_script 27
26	comp-bc-0245	1583418037.534	    64.434	0	73	0	0	Rscript my_R_script 26
29	comp-bc-0245	1583418043.586	    59.246	0	73	0	0	Rscript my_R_script 29
30	comp-bc-0245	1583418045.612	    60.078	0	73	0	0	Rscript my_R_script 30
28	comp-bc-0245	1583418041.567	    65.725	0	73	0	0	Rscript my_R_script 28
31	comp-bc-0293	1583418048.868	    60.930	0	73	0	0	Rscript my_R_script 31
32	comp-bc-0293	1583418050.878	    59.842	0	73	0	0	Rscript my_R_script 32
33	comp-bc-0293	1583418052.895	    60.934	0	73	0	0	Rscript my_R_script 33
35	comp-bc-0293	1583418056.931	    61.187	0	73	0	0	Rscript my_R_script 35
34	comp-bc-0293	1583418054.913	    65.856	0	73	0	0	Rscript my_R_script 34
37	comp-bc-0293	1583418061.012	    61.561	0	73	0	0	Rscript my_R_script 37
38	comp-bc-0293	1583418063.030	    61.522	0	73	0	0	Rscript my_R_script 38
36	comp-bc-0293	1583418058.949	    65.918	0	73	0	0	Rscript my_R_script 36
39	comp-bc-0293	1583418065.042	    61.399	0	73	0	0	Rscript my_R_script 39
40	comp-bc-0293	1583418067.060	    62.213	0	73	0	0	Rscript my_R_script 40
